"Country","Region","Infant.Mortality.per.1000.live.births","Life.Expectancy","Maternal.Mortality.per.100000.live.births"
"Saint Martin","Central America and the Caribbean",6.5,81,NA
"Saint Pierre and Miquelon","North America",7.8,81.8,NA
"Saint Vincent and the Grenadines","Central America and the Caribbean",12.3,77.2,56
"Samoa","Australia and Oceania",17.3,75.7,101
"San Marino","Europe",6.2,84.2,8
"Sao Tome and Principe","Africa",42.6,67.7,75
"Saudi Arabia","Middle East",11.7,77.2,7
"Senegal","Africa",31.1,70.6,237
"Serbia","Europe",4.5,75.3,11
"Seychelles","Africa",10.2,76.6,42
"Sierra Leone","Africa",71.2,59.4,354
"Singapore","East and Southeast Asia",1.5,86.7,6
"Sint Maarten","Central America and the Caribbean",7.6,79.7,NA
"Slovakia","Europe",5.1,77.2,4
"Slovenia","Europe",1.5,82.2,3
"Solomon Islands","Australia and Oceania",19.1,77.2,123
"Somalia","Africa",83.6,56.5,563
"South Africa","Africa",21.9,71.9,118
"South Sudan","Africa",60.1,60.3,692
"Spain","Europe",2.4,83,3
"Sri Lanka","South Asia",6.8,76.8,18
"Sudan","Africa",40.6,67.8,256
"Suriname","South America",29.6,72.7,84
"Sweden","Europe",2.3,82.9,4
"Switzerland","Europe",3,83.9,5
"Syria","Middle East",15.1,74.8,20
"Taiwan","East and Southeast Asia",3.8,81.6,NA
"Tajikistan","Central Asia",21.7,71.9,14
"Tanzania","Africa",29.6,70.8,276
"Thailand","East and Southeast Asia",6.3,78.2,34
"Timor-Leste","East and Southeast Asia",32.2,70.5,192
"Togo","Africa",38.4,72.1,349
"Tonga","Australia and Oceania",11.8,78,67
"Trinidad and Tobago","Central America and the Caribbean",15.1,76.5,54
"Tunisia","Africa",11.3,77.3,36
"Turkey (Turkiye)","Middle East",18.4,76.7,15
"Turkmenistan","Central Asia",35.9,72.4,5
"Turks and Caicos Islands","Central America and the Caribbean",11.1,81.3,NA
"Tuvalu","Australia and Oceania",27.8,69,170
"Uganda","Africa",28.5,69.7,170
"Ukraine","Europe",8.7,70.5,15
"United Arab Emirates","Middle East",5,79.9,3
"United Kingdom","Europe",3.8,82.2,8
"United States","North America",5.1,80.9,17
"Uruguay","South America",8,78.9,15
"Uzbekistan","Central Asia",18.2,76.2,26
"Vanuatu","Australia and Oceania",13.7,75.7,100
"Venezuela","South America",13.9,74.5,227
"Vietnam","East and Southeast Asia",14.1,76.1,48
"Virgin Islands","Central America and the Caribbean",7.3,80.7,NA
"Wallis and Futuna","Australia and Oceania",3.9,81.1,NA
"West Bank","Middle East",15.1,76.5,16
"Yemen","Middle East",44.6,68.2,118
"Zambia","Africa",35.6,66.9,85
"Zimbabwe","Africa",33.4,67.2,358
